title,product_title,product_id
CSWS-8-10 - Ilsco,98001,
CSWS-6-14 - Ilsco,98004,
YA8CL1-BOX - Burndy,98002,
CSWS-8-14 - Ilsco,98002,
YA8CL2-BOX - Burndy,98002A,
CSWS-8-516 - Ilsco,98002A,
YA8CL3-BOX - Burndy,98002B,
CSWS-8-38 - Ilsco,98002B,
YA6CL1-BOX - Burndy,98003,
CSWS-6-10 - Ilsco,98003,
YA6CL-BOX - Burndy,98004,
YA6CL3-BOX - Burndy,98005,
CSWS-6-516 - Ilsco,98005,
YA8CL-BOX - Burndy,98001,
YA6CL4-BOX - Burndy,98005A,
CSWS-6-38 - Ilsco,98005A,
YA4CL1-BOX - Burndy,98006,
CSWS-4-10 - Ilsco,98006,
YA4CL-BOX - Burndy,98008,
CSWS-4-14 - Ilsco,98008,
YA4CL3-BOX - Burndy,98009,
CSWS-4-516 - Ilsco,98009,
YA4CL4-BOX - Burndy,98010,
CSWS-4-38 - Ilsco,98010,
YA4CL6-BOX - Burndy,98010A,
CSWS-4-12 - Ilsco,98010A,
CSWS-3-14 - Ilsco,98010B,
YA3CL - Burndy,98010C,
CSWS-3-516 - Ilsco,98010C,
CSWS-3-38 - Ilsco,98010D,
CSWS-3-12 - Ilsco,98010E,
YA2CL2-BOX - Burndy,98011,
CSWS-2-14 - Ilsco,98011,
YA2CL-BOX - Burndy,98012,
CSWS-2-516 - Ilsco,98012,
YA2CL4-BOX - Burndy,98013,
CSWS-2-38 - Ilsco,98013,
YA2CL6-BOX - Burndy,98013A,
CSWS-2-12 - Ilsco,98013A,
YA1CL2-BOX - Burndy,98014,
CSWS-1-14 - Ilsco,98014,
YA1CL-BOX - Burndy,98015,
CSWS-1-516 - Ilsco,98015,
YA1CL4-BOX - Burndy,98016,
CSWS-1-38 - Ilsco,98016,
YA1CL6-BOX - Burndy,98016A,
CSWS-1-12 - Ilsco,98016A,
YA25L2-BOX - Burndy,98017,
CSWS-1/0-14 - Ilsco,98017,
YA25L-BOX - Burndy,98018,
CSWS-1/0-516 - Ilsco,98018,
YA25L4-BOX - Burndy,98019,
CSWS-1/0-38 - Ilsco,98019,
YA25L6-BOX - Burndy,98019A,
CSWS-1/0-12 - Ilsco,98019A,
YA26L2-BOX - Burndy,98020,
YA26L-BOX - Burndy,98021,
CSWS-2/0-516 - Ilsco,98021,
YA26L4-BOX - Burndy,98022,
CSWS-2/0-38 - Ilsco,98022,
YA26L6-BOX - Burndy,98023,
CSWS-2/0-12 - Ilsco,98023,
CSWS-3/0-14 - Ilsco,98024,
YA27L3 - Burndy,98025,
CSWS-3/0-516 - Ilsco,98025,
YA27L4-BOX - Burndy,98026,
CSWS-3/0-38 - Ilsco,98026,
YA27L4-BOX - Burndy,98027,
CSWS-3/0-12 - Ilsco,98027,
YA28L2 - Burndy,98028,
CSWS-4/0-14 - Ilsco,98028,
YA28L3 - Burndy,98029,
CSWS-4/0-516 - Ilsco,98029,
YA28L4-BOX - Burndy,98030,
CSWS-4/0-38 - Ilsco,98030,
YA28L-BOX - Burndy,98031,
CSWS-4/0-12 - Ilsco,98031,
YA29L4 - Burndy,98032,
CSWS-250-38 - Ilsco,98032,
YA29L-BOX - Burndy,98033,
CSWS-250-12 - Ilsco,98033,
YA30L - Burndy,98034,
CSWS-300-12 - Ilsco,98034,
YA30L7 - Burndy,98035,
CSWS-300-58 - Ilsco,98035,
YA30L24 - Burndy,98036A,
CSWS-300-38 - Ilsco,98036A,
YA31L - Burndy,98036,
CSWS-350-12 - Ilsco,98036,
YA31L7 - Burndy,98037,
CSWS-350-58 - Ilsco,98037,
YA32LN - Burndy,98038,
CSWS-400-12 - Ilsco,98038,
YA32L - Burndy,98039,
CSWS-400-58 - Ilsco,98039,
YA34L6 - Burndy,98040,
CSWS-500-12 - Ilsco,98040,
YA34L - Burndy,98041,
CSWS-500-58 - Ilsco,98041,
YA36L - Burndy,98042,
CSWS-600-58 - Ilsco,98042,
YA36L11 - Burndy,98042A,
CSWS-600-12 - Ilsco,98042A,
YA38L - Burndy,98042B,
CSWS-700-58 - Ilsco,98042B,
CSWS-700-12 - Ilsco,98042C,
YA39L - Burndy,98043,
CSWS-750-58 - Ilsco,98043,
YA39L6 - Burndy,98043A,
CSWS-750-12 - Ilsco,98043A,
YA44L - Burndy,98043B,
CSWS-1000-58 - Ilsco,98043B,
YA44L2 - Burndy,98043C,
CSWS-1000-12 - Ilsco,98043C,
YA8CTC14 - Burndy,98064,
CLNS-8-14 - Ilsco,98064,
YA8CTC10 - Burndy,98064A,
CLNS-8-10 - Ilsco,98064A,
YA8CTC38 - Burndy,98064B,
CLNS-8-38 - Ilsco,98064B,
YA6C - Burndy,98065,
CLNS-6-14 - Ilsco,98065,
YA6CTC38 - Burndy,98065A,
CLNS-6-38 - Ilsco,98065A,
YA6CTC516 - Burndy,98065B,
CLNS-6-516 - Ilsco,98065B,
YA6CTC10 - Burndy,98065C,
CLNS-6-10 - Ilsco,98065C,
YA4C - Burndy,98066,
CLNS-4-14 - Ilsco,98066,
YA4CTC38 - Burndy,98066A,
CLNS-4-38 - Ilsco,98066A,
CLNS-4-516 - Ilsco,98066B,
YA4CTC10 - Burndy,98066C,
CLNS-4-10 - Ilsco,98066C,
CLNS-3-10 - Ilsco,98066D,
YA3CTC14 - Burndy,98066E,
CLNS-3-14 - Ilsco,98066E,
YA3C - Burndy,98066F,
CLNS-3-516 - Ilsco,98066F,
YA3CTC38 - Burndy,98066G,
CLNS-3-38 - Ilsco,98066G,
YA2C - Burndy,98067,
CLNS-2-516 - Ilsco,98067,
YA2CTC38 - Burndy,98067A,
CLNS-2-38 - Ilsco,98067A,
YA2CTC14 - Burndy,98067B,
CLNS-2-14 - Ilsco,98067B,
YA2CTC10 - Burndy,98067C,
CLNS-2-10 - Ilsco,98067C,
YA1C - Burndy,98068,
CLNS-1-516 - Ilsco,98068,
YA1CTC38 - Burndy,98068A,
CLNS-1-38 - Ilsco,98068A,
YA1CTC10 - Burndy,98068B,
CLNS-1-10 - Ilsco,98068B,
YA25 - Burndy,98069,
CLNS-1/0-516 - Ilsco,98069,
YA25TC10 - Burndy,98069A,
CLNS-1/0-10 - Ilsco,98069A,
YA25TC14 - Burndy,98069B,
CLNS-1/0-14 - Ilsco,98069B,
YA25TC38 - Burndy,98070,
CLNS-1/0-38 - Ilsco,98070,
YA25N - Burndy,98070A,
CLNS-1/0-12 - Ilsco,98070A,
YA26 - Burndy,98071,
CLNS-2/0-38 - Ilsco,98071,
YA26N - Burndy,98071A,
YA26TC14 - Burndy,98071B,
CLNS-2/0-14 - Ilsco,98071B,
YA27 - Burndy,98072,
CLNS-3/0-12 - Ilsco,98072,
CLNS-3/0-38 - Ilsco,98072A,
CLNS-3/0-14 - Ilsco,98072B,
YA28 - Burndy,98073,
CLNS-4/0-12 - Ilsco,98073,
YA28TC38 - Burndy,98073A,
CLNS-4/0-38 - Ilsco,98073A,
CLNS-4/0-14 - Ilsco,98073B,
YA29 - Burndy,98074,
CLNS-250-12 - Ilsco,98073B,
